system,brand,series,code,name,romanianName,previewHex,finish,usageScope,translucent,active,source,notes
RAL,,,2001,Red orange,,#C93C20,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,2002,Vermilion,,#CB2821,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,2003,Pastel orange,,#FF7514,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,2004,Pure orange,,#F44611,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,2005,Luminous orange,,#FF2301,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,2007,Luminous bright orange,,#FFA420,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,2008,Bright red orange,,#F75E25,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,2009,Traffic orange,,#F54021,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,2010,Signal orange,,#D84B20,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,2011,Deep orange,,#EC7C26,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,2012,Salmon range,,#E55137,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,2013,Pearl orange,,#C35831,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,3000,Flame red,,#AF2B1E,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,3001,Signal red,,#A52019,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,3002,Carmine red,,#A2231D,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,3003,Ruby red,,#9B111E,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,3004,Purple red,,#75151E,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,3005,Wine red,,#5E2129,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,3007,Black red,,#412227,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,3009,Oxide red,,#642424,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,3011,Brown red,,#781F19,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,3012,Beige red,,#C1876B,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,3013,Tomato red,,#A12312,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,3014,Antique pink,,#D36E70,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,3015,Light pink,,#EA899A,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,3016,Coral red,,#B32821,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,3017,Rose,,#E63244,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,3018,Strawberry red,,#D53032,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,3020,Traffic red,,#CC0605,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,3022,Salmon pink,,#D95030,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,3024,Luminous red,,#F80000,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,3026,"""Luminous bright red""",,#FE0000,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,3027,Raspberry red,,#C51D34,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,3028,Pure  red,,#CB3234,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,3031,Orient red,,#B32428,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,3032,Pearl ruby red,,#721422,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,3033,Pearl pink,,#B44C43,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,4001,Red lilac,,#6D3F5B,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,4002,Red violet,,#922B3E,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,4003,Heather violet,,#DE4C8A,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,4004,Claret violet,,#641C34,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,4005,Blue lilac,,#6C4675,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,4006,Traffic purple,,#A03472,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,4007,Purple violet,,#4A192C,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,4008,Signal violet,,#924E7D,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,4009,Pastel violet,,#A18594,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,4010,Telemagenta,,#CF3476,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,4011,Pearl violet,,#8673A1,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,4012,Pearl black berry,,#6C6874,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,5000,Violet blue,,#354D73,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,5001,Green blue,,#1F3438,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,5002,Ultramarine blue,,#20214F,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,5003,Saphire blue,,#1D1E33,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,5004,Black blue,,#18171C,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,5005,Signal blue,,#1E2460,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,5007,Brillant blue,,#3E5F8A,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,5008,Grey blue,,#26252D,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,5009,Azure blue,,#025669,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,5010,Gentian blue,,#0E294B,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,5011,Steel blue,,#231A24,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,5012,Light blue,,#3B83BD,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,5013,Cobalt blue,,#1E213D,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,5014,Pigeon blue,,#606E8C,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,5015,Sky blue,,#2271B3,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,5017,Traffic blue,,#063971,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,5018,Turquoise blue,,#3F888F,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,5019,Capri blue,,#1B5583,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,5020,Ocean blue,,#1D334A,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,5021,Water blue,,#256D7B,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,5022,Night blue,,#252850,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,5023,Distant blue,,#49678D,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,5024,Pastel blue,,#5D9B9B,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,5025,Pearl gentian blue,,#2A6478,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,5026,Pearl night blue,,#102C54,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6000,Patina green,,#316650,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6001,Emerald green,,#287233,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6002,Leaf green,,#2D572C,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6003,Olive green,,#424632,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6004,Blue green,,#1F3A3D,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6005,Moss green,,#2F4538,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6006,Grey olive,,#3E3B32,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6007,Bottle green,,#343B29,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6008,Brown green,,#39352A,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6009,Fir green,,#31372B,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6010,Grass green,,#35682D,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6011,Reseda green,,#587246,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
RAL,,,6012,Black green,,#343E40,matte,return;structure;cable_channel,false,true,RAL Classic (ral_standard.csv gist/nichtich),Preview HEX approximate — physical RAL standard is authoritative
